header,body,review_num,review_date,is_mobile_user
Expanded Too Fast and Nothing Like Before,"Legend has it that Hawker Chan apprenticed for a decade at Ma Li Ya before setting up shop a few stalls away at the same Smith Street location, offering $2 chicken rice and shot to fame. More than a decade ago that was and slowly,...it was still an affordable $3 for the longest time, an hour queue at the Chinatown Food Centre for tender, juicy and sweet Soy Sauce Chicken Rice, a little sweeter than Ma Li Ya, no frills, white rice no soup to accompaniment. From the queue estimate and what you can see hanging, I am not surprised if they sold like 60 chickens per day. Soon from 2016 they got awarded Michelin. They thought of selling to cash out, recipes and all. Failed. Then with group investments expanded wildly. Now they have three other mall style Restaurant locations at Smith Street, Funan and Tai Seng. At Funan they even opened a Thai Food Restaurant that lasted less than 8 months. These days, Hawker Chan seem nothing like a Hawker, Smith Street Hawker Stall had since closed, instead across the road a new restaurant. Moral of the story, wildfire fast expansions only screw quality. My order, $6 Soy Sauce Noodle. Cheapest Noodle. Lowest price item on menu is $5 Soy Sauce Chicken Rice. Everything else from add ons to sets in the regions of $8.80 and even $20 up. Not quite Hawker prices. Given the 3 outlet locations, I am sure everything is now mass factory made and no longer fresh in store. As I guessed, while the sauce and skin tasted the same, more sweet than savoury, the chicken is no longer as smooth, tender and juicy but quite dry. From the bone colours I suspect they may not even be using fresh chicken anymore. Their Char Siew hanging, from the machine cut lines I can tell it is not fresh pork, then why use fresh chicken. Who would chop a winglet drum in this way? Leaving more bone bits in my noodle than anything else. Vegetables were pre-blanched and dried up. As noodles and chicken were done by different staffs, the noodles were cooked ahead and left to dry while waiting for the chicken, whom had to chop a whole chicken takeaway order. From pictures you can tell my noodles were dried up. And yea, lastly, staffs more interested in chatting than service. I waited at the counter like a fool until they finished their banter. Seriously Mr Chan. Your legacy down the drain.More",10,2020-09-01,True
Ok to give a miss on this Chicken Rice stalk,"Visited Chinatown Complex Market and Food Centre to join the queue at 02-126 for their famous soya sauce chicken rice. 
Not worth the wait as their rice was a disaster. It was too soft and a little soggy. The chilli sauce is sweet with a...little spicy and tangy. I would prefer the usual chilli and ginger. 
The one star MICHELIN-listed soya sauce chicken is average with a mild herbal flavour. Tenderness of its meat could be easily compared with any other chicken meat sold thorough out Singapore. Nothing much to brat about.
Disappointing meal with Hawker Chan stall.More",30,2020-09-01,False
Cheapest michelin star meal,Had to try the cheapest Michelin star meal to see what the hype is all about. Tastes good but definitely nothing to rave about. Better chicken rice at other hawkers for cheaper!,30,2020-02-01,True
Overrated,"We ordered the half chicken, a 2 combination platter (char siew and roasted pork), soya sauce hor fun and yellow noodles. The price was reasonable for a restaurant with a Michelin star. However, having been a fan since their ""hawker days"" there has been a...very noticeable dip in food quality and each time I visit, I leave more disappointed..More",30,2019-11-01,False
Superb Comfort food during COVID-19,"With stricter travel advisories across the globe after COVID-19 is declared as pandemic; this renounce Michelin’s restaurant in Singapore Chinatown is also affected, as locals are observing social distancing and number of tourists have significantly dipped. 

This World First Hawker Michelin-starred Meal” that dishes out...tasty soya sauce chicken noodles is also feeling the impact of Coronavirus. As precautionary measures, I have ordered take away instead of dinning in. Despite take-away, the noodles tasted great. Great comfort food for all Seasons!! 

Restaurant cleanliness is great and servers observed good hand hygiene 👍More",50,2020-03-01,True
"Glad I tried it, but didn’t finish it","I got part of the neck of the chicken which I really didn’t enjoy - admittedly, I can be quite squeemish about chicken anyway so not necessarily their fault, but other members of our party got chicken breast and no bones. The sauce was nice,...but not outstanding. The egg was over cooked and the cucumber not fresh. I am very glad I tried it, seeing as it’s the worlds cheapest Michelin star, but I would say it’s overrated.More",30,2020-03-01,True
"Good enough for its price, New Hawker Chan outlet at Funan Mall","Like others, drawn here for the cheapest Michelin-starred meal.

New outlet at Funan Mall's ground floor facing the main road:
Totally air-conditioned, clean and bright, with spacious seating area, digital menus and ordering system like those at MacDonald's. They do have service staff if you...don't want to use the digital ordering system. If you didn't dare go try it at its original location because it was hard to find at a local neighbourhood, you could totally try this outlet since it's at Funan Mall, just two hundred metres from City Hall MRT station, one of the most central and easily accessible part of Singapore.

From local foodie's point of view:
The meats didn't taste well-seasoned, for instance the flesh of the soya sauce chicken tasted like a white chicken. Good that it's still juicy and soft, but just not well seasoned. Wonder if it's because this is a franchised outlet and not the original outlet where the original chef is at?

From practicality point of view:
We're still pretty pleased that for US$5, we've got a pretty good portion of chicken (a fat and juicy quarter chicken) + vegetables + good quality handmade bouncy egg noodles. For US$20++, we ordered and got to try all four kinds of their meat offerings - Soya chicken, crispy roasted pork belly, well-seasoned barbecued ribs, Char Siew (Asian caramelized pork), a rather unique papaya pork rib soup AND really good portion of fragrant, crunchy sprouts. Not to mention this venue is much more comfortable, easier to get to AND in the middle of an expensive/convenient part of town.

Overall, still a totally satisfying meal that's very worth its price+location+comfort.More",40,2020-01-01,False
Hawker stall is our preferable taste,We didn’t have in the restaurant at 78 smith street. We had the soy chicken in Chinatown complex 355 Smith street. This is the original place which we found it taste better and we came in a quiet season but still Q in the line....They open at 10:30am.More,40,2020-02-01,True
"Good value and quite nice, maybe overrated","I'll start by saying this is probably a bit overrated but still good. Maybe it's gone downhill since becoming famous and franchised, but it's still worth a visit. 

Service was very quick, it took longer to get to the front of the order line than...it did to get my meal. $5 for the soya chicken with rice was great value. The chicken was very tender and tasted good. 

The original store is called Hong Kong soya (or something like that) and is in a more traditional hawker centre, might be worth giving that one a go instead as that's where it all started. 

I'd reccomend getting some of the free jalapenos and adding them to give the dish a bit of spice and tang.More",40,2020-02-01,True
Authentic Singapore soya chicken,Authentic Singapore soya chicken rice. The soya chicken and the BBQ pork are must try. Very reasonable price - Michelin Bib award.,50,2020-02-01,True
Delicious Food Served,"Though the queue was long at times, the staff always put on a smiling face and prepare our seats.  The order and food were served fast, hot and the taste are delicious.",50,2019-11-01,False
Did not live up to the hype,"There wasn't much of a wait given how fast they moved the line, but the soy sauce chicken wasn't that great. My mother's home cooking is better. I would not actively say it is bad, but simply that it isn't all that great. It was...More",30,2020-01-01,False
Singapore’s Michelin-starred chicken rice,"The food is good but i don't really enjoy having meal at the restaurant as people will stand besides of the table to wait for the table. Some people are just smart to get a table first while their friend is queuing for the food,...More",30,2020-01-01,False
Enjoyable,"So lucky to arrive and had a short wait... like 5-10 minutes.
Food didn't disappoints at all.

Not sure if worth a Michelin star but very satisfied.",40,2019-04-01,False
Tasteless price winning menu,Tasteless price winning soy chicken with rice. The meal tasted terrible. Chicken watery and the soy as if it was out of selling date. I really do not understand how Michelin can give a recommendation. Never te return as I told guests in the queue...More,10,2020-01-01,True
Bony and busy,"Like half of the tourists in Singapore, I dropped into Hawker Chan on Smith Street to order the award-winning Chicken and Soy Sauce dish. The restaurant isn't really big enough for its popularity, and so you have to order your food with no guarantee of...More",30,2020-01-01,False
Worth the Wait,We came across Hawker Chan at the Chinatown Center. Its located in the back and you cant miss the line. It took us about a 20-25 min wait in line but the lady running the counter is fast and keeps a good eye out for...More,50,2019-12-01,False
cheapest Michelin star 'restaurant' in the world,"Hawker Chan is the cheapest Michelin star in the world, and the award of the Michelin star illustrates some of the absurdities of the Michelin system. During the four days we spent in Singapore, we went to the 'original' Hawker Chan in the Chinatown food...More",40,2019-12-01,False
Victim of its own success,I have just finished eating there. I had the signature Soya Sauce Chicken Rice. It was stone cold. With a lot of bones. There wasn't enough of the sticky soy sauce that should drown chicken rice. The rest was OK. The staff who served my...More,10,2020-01-01,False
Delicious Soy Sauce Chicken & Noodles,"Arrived at a quiet time for a late (4 pm'ish) lunch. Orders are taken at the counter and a number docket is issued, listen out for the number to collect your meal. I had the Soy Sauce Chicken with noodles and a Tiger beer for...More",50,2020-01-01,False
This is an EXPERIENCE not to be missed,With all the hype about getting a Michelin star then a visit to eat at Hawker Chan is a must if you are a Galactic Foodie like me.  On the face of it this is just a simple food outlet but dig deep and a...More,40,2020-01-01,True
This branch is good!,We chanced across this restaurent whilst exploring the new Funan Mall at 11 am. We wanted a good place for brunch - what better than the famous Michelin starred Soya Sauce Chicken!! Without having to fight off the crowds as we were early. This branch...More,30,2020-01-01,True
Rude and Bad Service,Visit at your own risk. The staff is so rude. More bothered about cleaning the fridge than to attend to a customer who wants to order. A customer getting shouted by the staff. Visit if you want to be treated like trash! Attaching a photo...More,10,2020-01-01,False
Outlet at Kuala Lumpur,"This outlet just opened in Kuala Lumpur.  Even though it is a Michelin 1 star shop, the price of the food is cheap. Must try the soya sauce roasted chicken. We had a balance meal as besides meat, there were vegetable choices - bean sprouts...More",40,2019-12-01,True
Below average ,"Just finished eating and very disappointed. we know these places are usually overhyped but this was just below average. We ordered the soya sauce chicken rice (the Michelin star meal) and when it arrived, it looked totally different to the photo and everyone else’s portion....More",20,2019-12-01,True
Excellent Hawker Food,"Being raved as the Hawker Stall with a Michelin Star, we walked in here with great expectations, and were pleasantly surprised with the quality if the food. Specialising in Chinese bbq, the Soy Chicken is the star, succulent chicken covered in a beautiful sauce. Other...More",40,2019-12-01,True
"Okay, but I expected more","I was excited to try this restaurant because of the Michelin star, and I ordered their best-selling Soya Sauce chicken. But to be honest I was disappointed - though the chicken was tender, there were some undercooked parts which turned me off. The rice was...More",30,2019-11-01,False
Bit Strange to have a Michelin Star,"Whilst the food was tasty, I am not sure why it has a Michelin Star. The Soy Chicken that was the chefs recommndation was nice but not extraordinary. However it wasnt very expensive so worth a try, I guess it was value for money if...More",40,2019-12-01,False
take care - dangerous for health!,"Resting on their laurels. We visited the eatery on Christmas Eve and ordered the awarded Soya Chicken, one with rice and one in spicy version with noodles.  Both came completely cold, the chicken uncooked and rare. Only bloody bones. 
The best option how to ruin...More",10,2019-12-01,False
